type,charID,startX,startY,endX,endY,dirX,dirY,duration,value,background,sfx,비고
TELEPORT,jang,,,50,50,,,,,,,
TELEPORT,jack,,,50,50,,,,,,,
TELEPORT,isolde,,,50,50,,,,,,,
BGM,,,,,,,,,,,,
BACKGROUND,,,,,,,,,,black,,
EFFECT,,,,,,,,,FADE_TO_70,,,
BACKGROUND,,,,,,,,,,wasteLand,,
SFX_START,,,,,,,,,0.7,,dragging,
DIALOGUE,,,,,,,,,2,,,(지이익… 지이익…)
SFX_END,,,,,,,,,,,dragging,
SFX_START,,,,,,,,,0.5,,dragging,
DIALOGUE,,,,,,,,,2,,,(피곤하다.)
SFX,,,,,,,,,,,sigh,한숨 sfx
DIALOGUE,,,,,,,,,3,,,장: (돈이 아무리 궁해도 쓰리잡은 무리였나…)
SFX_END,,,,,,,,,,,dragging,
SFX_START,,,,,,,,,0.7,,dragging,
DIALOGUE,,,,,,,,,3,,,(지이익… 지이익…)
SFX_END,,,,,,,,,,,dragging,
SFX_START,,,,,,,,,0.85,,dragging,
DIALOGUE,,,,,,,,,2,,,장: (…?)
SFX_END,,,,,,,,,,,dragging,
SFX_START,,,,,,,,,1,,dragging,
DIALOGUE,,,,,,,,,1,,,(지이익… 지이익…)
SFX,,,,,,,,,,,turning,뒤척이기 sfx
DIALOGUE,,,,,,,,,3,,,(장은 며칠 밤을 새며 몽롱해진 정신을…)
ANIMATION,jang,,,,,,,,lay,,,누워있기
EFFECT,,,,,,,,,FADE_IN,,,
SLIDE,jang,-22.84,-8.94,-9.07,-8.94,,,5,,,,
MOVE,jack,-22.02,-8.94,-8.12,-8.94,,,5,,,,
DIALOGUE,,,,,,,,,1,,,으…으윽…
SFX_END,,,,,,,,,,,dragging,
DIALOGUE,,,,,,,,,2,,,"잭: 바, 방금… 소리가…?"
SLIDE,jack,-8.12,-8.94,-7.61,-8.94,,,0.3,,,,오른쪽으로 가라네?
ANIMATION,jack,,,,,,,,jump,,,뛰기
WAIT,,,,,,,,1,,,,
ANIMATION,jang,,,,,,,,lookUp,,,올려다보기
LOOK,jack,,,,,,-1,,,,,
LOOK,jack,,,,,-1,,,,,,
DIALOGUE,,,,,,,,,3,,,장: … …
EFFECT,,,,,,,,,SHAKE,,,
SFX,,,,,,,,,,,shock,충격 효과음
DIALOGUE,,,,,,,,,2,,,"잭: 으, 으아아악! …"
EFFECT,,,,,,,,,SHAKE,,,
SFX,,,,,,,,,,,shock,충격 효과음
DIALOGUE,,,,,,,,,1,,,잭: 으아아악! 시체가 살아있다
ANIMATION,jack,,,,,,,,trembling,,,떨림
ANIMATION,jang,,,,,,,,wakeUp,,,일어나기
LOOK,jang,,,,,1,,,,,,
DIALOGUE,,,,,,,,,3,,,"잭: 으… 어, 어머니… … (29열까지"
MOVE,jang,-9.07,-8.94,-8.12,-8.94,,,5,,,,
ANIMATION,jack,,,,,,,,pop,,,
SFX,,,,,,,,,scared,,,
MOVE,jack,-7.61,-8.94,-6.66,-8.94,,,5,,,,
DIALOGUE,,,,,,,,,2,,,장: 멀쩡해요.
ANIMATION,jang,,,,,,,,blinking,,,
MOVE,jang,-8.12,-8.94,-7.72,-8.94,,,2,,,,
ANIMATION,jack,,,,,,,,sit,,,
DIALOGUE,,,,,,,,,1,,,잭:저..정말이네?...
MOVE,jang,-7.72,-8.94,-7.52,-8.94,,,1,,,,
MOVE,jang,-7.52,-8.94,-7.32,-8.94,,,1,,,,
ANIMATION,jack,,,,,,,,shake,,,// 근데 앉아있는데 어캐 흔들림
DIALOGUE,,,,,,,,,1,,,잭: 오….오오…! …
EFFECT,,,,,,,,,SHAKE,,,
ANIMATION,jang,,,,,,,,lay,,,
DIALOGUE,,,,,,,,,6,,,장: 아.
ANIMATION,jack,,,,,,,,looking,,,
ANIMATION,jack,,,,,,,,hold_perfume,,,
DIALOGUE,,,,,,,,,8,,,장: …? 뭐하는 …겁니까?
ANIMATION,jang,,,,,,,,wakeUp,,,
LOOK,jack,,,,,1,,,,,,
DIALOGUE,,,,,,,,,33,,,잭: 하하… 이거…
BGM,,,,,,,,,tutorial2,,,
DIALOGUE,,,,,,,,,4,,,
EFFECT,,,,,,,,,SHAKE,,,
EFFECT,,,,,,,,,FADE_TO_70,,,
DIALOGUE,,,,,,,,,7,,,
EFFECT,,,,,,,,,FADE_OUT,,,
DIALOGUE,,,,,,,,,2,,,
WAIT,,,,,,,,,3,,,
BACKGROUND,,,,,,,,,lab,,// 씬 전환,
TELEPORT,lorenz,,,3,3,,,,,,,
TELEPORT,alric,,,3,3,,,,,,,
TELEPORT,dietrich,,,3,3,,,,,,,
TELEPORT,jack,,,3,3,,,,,,,
TELEPORT,jang,,,3,3,,,,,,,
WAIT,,,,,,,,,2,,,
EFFECT,,,,,,,,,FADE_TO_70,,,
DIALOGUE,,,,,,,,,18,,,
EFFECT,,,,,,,,,FADE_OUT,,,
TELEPORT,jack,,,50,50,,,,,,,
DIALOGUE,,,,,,,,,13,,,
